PLAYER,DefenseTD,DefenseINT,DefenseFR,DefenseSCK,DefenseSFTY,DefenseBLK,DefensePA,DefenseYA,FPTS,AVG
"Patriots D/ST
NED/ST",7,25,11,47,1,4,195,4414,225,14.1
"Steelers D/ST
PitD/ST",4,20,18,54,0,1,285,4866,181,11.3
"49ers D/ST
SFD/ST",5,12,15,48,0,0,296,4509,164,10.3
"Ravens D/ST
BalD/ST",6,13,12,37,1,2,282,4809,152,9.5
"Vikings D/ST
MinD/ST",2,17,14,48,1,1,301,5465,132,8.3
"Bills D/ST
BufD/ST",1,14,9,44,1,2,251,4772,131,8.2
"Jets D/ST
NYJD/ST",6,12,9,35,2,1,341,5170,129,8.1
"Saints D/ST
NOD/ST",4,13,10,51,1,1,341,5329,128,8
"Rams D/ST
LARD/ST",4,13,11,50,1,0,340,5434,127,7.9
"Buccaneers D/ST
TBD/ST",6,12,16,47,0,0,405,5503,126,7.9
"Chiefs D/ST
KCD/ST",4,16,7,45,0,2,302,5594,122,7.6
"Titans D/ST
TenD/ST",4,14,9,43,1,4,331,5752,117,7.3
"Colts D/ST
IndD/ST",3,15,8,41,2,0,355,5549,114,7.1
"Eagles D/ST
PhiD/ST",3,11,9,43,0,2,354,5307,107,6.7
"Cowboys D/ST
DalD/ST",1,7,10,39,0,0,321,5232,96,6
"Bears D/ST
ChiD/ST",2,10,9,32,1,0,298,5186,95,5.9
"Seahawks D/ST
SeaD/ST",3,16,16,28,0,3,368,6106,89,5.6
"Packers D/ST
GBD/ST",0,17,7,41,0,1,313,5642,89,5.6
"Falcons D/ST
AtlD/ST",3,12,8,28,0,1,375,5693,82,5.1
"Broncos D/ST
DenD/ST",1,10,6,40,0,1,310,5392,81,5.1
"Chargers D/ST
LACD/ST",1,11,3,30,0,0,327,5009,80,5
"Jaguars D/ST
JaxD/ST",2,10,9,47,0,2,383,6007,79,4.9
"Panthers D/ST
CarD/ST",1,14,7,53,2,2,464,5992,72,4.5
"Browns D/ST
CleD/ST",1,14,6,38,0,2,377,5785,69,4.3
"Washington D/ST
WshD/ST",1,13,9,46,0,1,417,6162,65,4.1
"Texans D/ST
HouD/ST",2,12,10,31,0,2,377,6213,65,4.1
"Giants D/ST
NYGD/ST",3,10,6,36,1,2,431,6037,57,3.6
"Raiders D/ST
LVD/ST",2,9,6,32,0,0,399,5677,55,3.4
"Lions D/ST
DetD/ST",3,7,11,28,0,0,411,6406,39,2.4
"Bengals D/ST
CinD/ST",1,11,5,31,1,0,390,6299,34,2.1
"Cardinals D/ST
AriD/ST",0,7,10,40,0,0,424,6432,31,1.9
"Dolphins D/ST
MiaD/ST",2,13,3,23,1,0,478,6364,22,1.4