PLAYER,FG39/FGA39,FG49/FGA49,FG50+/FGA50+,FG/FGA,XP/XPA,FPTS,AVG
"Harrison Butker
KCK",18/19,13/13,3/6,34/38,45/48,162,10.1
"Wil Lutz
NOK",16/16,13/15,3/5,32/36,48/49,159,9.9
"Justin Tucker
BalK",17/17,10/11,1/1,28/29,57/59,152,9.5
"Matt Gay
TBK",11/13,11/14,5/8,27/35,43/48,137,8.6
"Josh Lambo
JaxK",21/21,8/9,4/4,33/34,19/20,133,8.3
"Zane Gonzalez
AriK",24/25,5/8,2/2,31/35,34/35,132,8.3
"Dan Bailey
MinK",19/19,5/7,3/3,27/29,40/44,130,8.1
"Matt Prater
DetK",13/14,6/9,7/8,26/31,35/36,128,8
"Brandon McManus
DenK",15/15,10/12,4/7,29/34,25/26,125,7.8
"Chris Boswell
PitK",19/19,9/10,1/2,29/31,28/28,124,7.8
"Joey Slye
CarK",9/10,8/11,8/11,25/32,31/35,123,7.7
"Greg Zuerlein
DalK",14/15,5/11,5/7,24/33,42/42,120,7.5
"Mason Crosby
GBK",14/14,7/8,1/2,22/24,40/41,113,7.1
"Randy Bullock
CinK",16/16,10/12,1/3,27/31,24/25,113,7.1
"Austin Seibert
CleK",15/15,9/12,1/2,25/29,30/35,112,7
"Jason Myers
SeaK",17/17,4/7,2/4,23/28,40/44,112,7
"Jason Sanders
MiaK",15/16,5/9,3/5,23/30,29/30,109.1,6.8
"Robbie Gould
SFK",17/19,6/8,0/4,23/31,41/42,108,8.3
"Ka'imi Fairbairn
HouK",13/13,4/6,3/6,20/25,40/45,105,6.6
"Jake Elliott
PhiK",15/15,5/7,2/4,22/26,35/37,104,6.5
"Dustin Hopkins
WshK",15/17,8/10,2/3,25/30,21/22,103,6.4
"Stephen Hauschka
BufK",12/13,9/10,1/5,22/28,30/32,101,6.3
"Eddy Pineiro
ChiK",18/19,3/7,2/2,23/28,27/29,98,6.1
"Brett Maher
NYJK",15/17,1/5,4/8,20/30,36/36,97,7.5
"Younghoe Koo
AtlK",15/16,7/9,1/1,23/26,15/16,90,11.3
"Daniel Carlson
LVK",13/14,6/10,0/2,19/26,34/36,90,5.6
"Chase McLaughlin
IndK",10/10,5/10,3/3,18/23,26/26,86,7.8
"Sam Ficken
NYJK",9/10,7/11,3/6,19/27,23/26,85,5.7
"Adam Vinatieri
FAK",12/13,3/7,2/5,17/25,22/28,--,6
"Aldrick Rosas
FAK",11/12,1/4,0/1,12/17,35/39,--,4.2
"Michael Badgley
LACK",7/7,6/8,0/1,13/16,19/19,61,7.6
"Nick Folk
FAK",9/9,4/7,1/1,14/17,12/12,--,8.1
"Kai Forbath
DalK",3/3,7/7,1/1,11/11,11/12,53,13.3
"Matt Bryant
FAK",4/5,3/3,2/6,9/14,14/15,--,6.1
"Stephen Gostkowski
FAK",6/6,1/2,0/0,7/8,11/15,--,8
"Mike Nugent
FAK",5/7,0/1,0/0,5/8,15/16,--,6.8
"Cairo Santos
TenK",1/3,2/3,1/3,4/9,12/12,23,4.6
"Ryan SuccopQ
TenK",1/1,0/4,0/1,1/6,24/25,22,3.7
"Cody Parkey
TenK",0/0,2/2,1/1,3/3,5/6,18,6
"Greg Joseph
TenK",0/0,0/0,0/0,0/0,9/9,9,4.5
"Graham Gano
NYGK",--/--,--/--,--/--,--/--,--/--,--,--
"Chandler Catanzaro
FAK",--/--,--/--,--/--,--/--,--/--,--,--
"Sebastian Janikowski
FAK",--/--,--/--,--/--,--/--,--/--,--,--
"Matthew McCrane
PitK",--/--,--/--,--/--,--/--,--/--,--,--
"Phil Dawson
FAK",--/--,--/--,--/--,--/--,--/--,--,--
"Giorgio Tavecchio
FAK",--/--,--/--,--/--,--/--,--/--,--,--
"Caleb Sturgis
FAK",--/--,--/--,--/--,--/--,--/--,--,--
"Sam Sloman
LARK",--/--,--/--,--/--,--/--,--/--,--,--
"Justin Rohrwasser
NEK",--/--,--/--,--/--,--/--,--/--,--,--
"Tyler Bass
BufK",--/--,--/--,--/--,--/--,--/--,--,--