PLAYER,FG39,FGA39,FGM39,FG49,FGA49,FGM49,FG50,FGA50,FGM50,FG,FGA,FGM,XP,XPA,XPM,FPTS,AVG
"Harrison Butker
KCK",18,19,1,13,13,0,3,6,3,34,38,4,45,48,3,162,10.1
"Wil Lutz
NOK",16,16,0,13,15,2,3,5,2,32,36,4,48,49,1,159,9.9
"Justin Tucker
BalK",17,17,0,10,11,1,1,1,0,28,29,1,57,59,2,152,9.5
"Matt Gay
TBK",11,13,2,11,14,3,5,8,3,27,35,8,43,48,5,137,8.6
"Josh Lambo
JaxK",21,21,0,8,9,1,4,4,0,33,34,1,19,20,1,133,8.3
"Zane Gonzalez
AriK",24,25,1,5,8,3,2,2,0,31,35,4,34,35,1,132,8.3
"Dan Bailey
MinK",19,19,0,5,7,2,3,3,0,27,29,2,40,44,4,130,8.1
"Matt Prater
DetK",13,14,1,6,9,3,7,8,1,26,31,5,35,36,1,128,8
"Brandon McManus
DenK",15,15,0,10,12,2,4,7,3,29,34,5,25,26,1,125,7.8
"Chris Boswell
PitK",19,19,0,9,10,1,1,2,1,29,31,2,28,28,0,124,7.8
"Joey Slye
CarK",9,10,1,8,11,3,8,11,3,25,32,7,31,35,4,123,7.7
"Greg Zuerlein
DalK",14,15,1,5,11,6,5,7,2,24,33,9,42,42,0,120,7.5
"Mason Crosby
GBK",14,14,0,7,8,1,1,2,1,22,24,2,40,41,1,113,7.1
"Randy Bullock
CinK",16,16,0,10,12,2,1,3,2,27,31,4,24,25,1,113,7.1
"Austin Seibert
CleK",15,15,0,9,12,3,1,2,1,25,29,4,30,35,5,112,7
"Jason Myers
SeaK",17,17,0,4,7,3,2,4,2,23,28,5,40,44,4,112,7
"Jason Sanders
MiaK",15,16,1,5,9,4,3,5,2,23,30,7,29,30,1,109.1,6.8
"Robbie Gould
SFK",17,19,2,6,8,2,0,4,4,23,31,8,41,42,1,108,8.3
"Ka'imi Fairbairn
HouK",13,13,0,4,6,2,3,6,3,20,25,5,40,45,5,105,6.6
"Jake Elliott
PhiK",15,15,0,5,7,2,2,4,2,22,26,4,35,37,2,104,6.5
"Dustin Hopkins
WshK",15,17,2,8,10,2,2,3,1,25,30,5,21,22,1,103,6.4
"Stephen Hauschka
BufK",12,13,1,9,10,1,1,5,4,22,28,6,30,32,2,101,6.3
"Eddy Pineiro
ChiK",18,19,1,3,7,4,2,2,0,23,28,5,27,29,2,98,6.1
"Brett Maher
NYJK",15,17,2,1,5,4,4,8,4,20,30,10,36,36,0,97,7.5
"Younghoe Koo
AtlK",15,16,1,7,9,2,1,1,0,23,26,3,15,16,1,90,11.3
"Daniel Carlson
LVK",13,14,1,6,10,4,0,2,2,19,26,7,34,36,2,90,5.6
"Chase McLaughlin
IndK",10,10,0,5,10,5,3,3,0,18,23,5,26,26,0,86,7.8
"Sam Ficken
NYJK",9,10,1,7,11,4,3,6,3,19,27,8,23,26,3,85,5.7
"Adam Vinatieri
FAK",12,13,1,3,7,4,2,5,3,17,25,8,22,28,6,--,6
"Aldrick Rosas
FAK",11,12,1,1,4,3,0,1,1,12,17,5,35,39,4,--,4.2
"Michael Badgley
LACK",7,7,0,6,8,2,0,1,1,13,16,3,19,19,0,61,7.6
"Nick Folk
FAK",9,9,0,4,7,3,1,1,0,14,17,3,12,12,0,--,8.1
"Kai Forbath
DalK",3,3,0,7,7,0,1,1,0,11,11,0,11,12,1,53,13.3
"Matt Bryant
FAK",4,5,1,3,3,0,2,6,4,9,14,5,14,15,1,--,6.1
"Stephen Gostkowski
FAK",6,6,0,1,2,1,0,0,0,7,8,1,11,15,4,--,8
"Mike Nugent
FAK",5,7,2,0,1,1,0,0,0,5,8,3,15,16,1,--,6.8
"Cairo Santos
TenK",1,3,2,2,3,1,1,3,2,4,9,5,12,12,0,23,4.6
"Ryan SuccopQ
TenK",1,1,0,0,4,4,0,1,1,1,6,5,24,25,1,22,3.7
"Cody Parkey
TenK",0,0,0,2,2,0,1,1,0,3,3,0,5,6,1,18,6
"Greg Joseph
TenK",0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,9,4.5
"Graham Gano
NYGK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--
"Chandler Catanzaro
FAK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--
"Sebastian Janikowski
FAK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--
"Matthew McCrane
PitK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--
"Phil Dawson
FAK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--
"Giorgio Tavecchio
FAK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--
"Caleb Sturgis
FAK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--
"Sam Sloman
LARK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--
"Justin Rohrwasser
NEK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--
"Tyler Bass
BufK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--