PLAYER,C/A,YDS,TD,INT,CAR,YDS,TD,REC,YDS,TD,TAR,2PC,FUML,TD,FPTS,AVG
"Travis Kelce
KCTE",0/0,0,0,0,1,4,1,97,1229,5,136,0,1,0,254.3,15.9
"George Kittle
SFTE",0/0,0,0,0,5,22,0,85,1053,5,107,0,0,0,222.5,15.9
"Darren Waller
LVTE",0/0,0,0,0,2,5,0,90,1145,3,117,0,1,0,221,13.8
"Zach Ertz
PhiTE",0/0,0,0,0,0,0,0,88,916,6,135,1,1,0,215.6,14.4
"Mark Andrews
BalTE",0/0,0,0,0,0,0,0,64,852,10,98,0,1,0,207.2,13.8
"Austin Hooper
CleTE",0/0,0,0,0,0,0,0,75,787,6,97,1,0,0,191.7,14.7
"Jared Cook
NOTE",0/0,0,0,0,0,0,0,43,705,9,65,0,0,0,167.5,12
"Tyler Higbee
LARTE",0/0,0,0,0,0,0,0,69,734,3,89,0,0,0,160.4,10.7
"Hunter Henry
LACTE",0/0,0,0,0,0,0,0,55,652,5,76,1,1,0,150.2,12.5
"Dallas GoedertQ
PhiTE",0/0,0,0,0,0,0,0,58,607,5,86,0,2,0,144.7,9.6
"Jason Witten
LVTE",0/0,0,0,0,0,0,0,63,529,4,83,1,1,0,139.9,8.7
"Mike Gesicki
MiaTE",0/0,0,0,0,0,0,0,51,570,5,89,0,1,0,136,8.5
"Greg Olsen
SeaTE",0/0,0,0,0,0,0,0,52,597,2,80,0,0,0,123.7,8.8
"Kyle Rudolph
MinTE",0/0,0,0,0,0,0,0,39,367,6,48,1,0,0,113.7,7.1
"Jack Doyle
IndTE",0/0,0,0,0,0,0,0,43,448,4,72,0,0,0,111.8,7
"Noah Fant
DenTE",0/0,0,0,0,3,-12,0,40,562,3,66,0,1,0,111,6.9
"Darren Fells
HouTE",0/0,0,0,0,0,0,0,34,341,7,47,0,0,0,110.1,6.9
"Evan Engram
NYGTE",0/0,0,0,0,3,7,0,44,467,3,68,0,0,0,109.4,13.7
"Tyler Eifert
JaxTE",0/0,0,0,0,0,0,0,43,436,3,63,1,0,0,106.6,6.7
"Jonnu Smith
TenTE",0/0,0,0,0,4,78,0,35,439,3,44,0,0,0,104.7,6.5
"Taysom Hill
NOTE",3/6,55,0,0,27,156,1,19,234,6,22,0,0,0,102.2,6.4
"Jimmy Graham
ChiTE",0/0,0,0,0,0,0,0,38,447,3,59,0,0,0,100.7,6.3
"Ryan Griffin
NYJTE",0/0,0,0,0,0,0,0,34,320,5,40,1,0,0,98,7.5
"Jacob Hollister
SeaTE",0/0,0,0,0,0,0,0,41,349,3,59,0,0,0,93.9,8.5
"Cameron Brate
TBTE",0/0,0,0,0,0,0,0,36,311,4,56,0,0,0,91.1,5.7
"Gerald Everett
LARTE",0/0,0,0,0,1,0,0,37,408,2,60,0,0,0,89.8,6.9
"Jordan Akins
HouTE",0/0,0,0,0,0,0,0,36,418,2,55,0,0,0,89.8,5.6
"Eric Ebron
PitTE",0/0,0,0,0,0,0,0,31,375,3,52,0,0,0,86.5,7.9
"Blake Jarwin
DalTE",0/0,0,0,0,0,0,0,31,365,3,41,0,0,0,85.5,5.3
"O.J. Howard
TBTE",0/0,0,0,0,0,0,0,34,459,1,53,0,1,0,83.9,6
"Vance McDonald
PitTE",0/0,0,0,0,1,2,0,38,273,3,55,0,0,0,83.5,6
"T.J. Hockenson
DetTE",0/0,0,0,0,0,0,0,32,367,2,59,0,0,0,80.7,6.7
"Dawson Knox
BufTE",0/0,0,0,0,1,9,0,28,388,2,50,0,0,0,79.7,5.3
"Irv Smith Jr.
MinTE",0/0,0,0,0,0,0,0,36,311,2,47,0,0,0,79.1,4.9
"Hayden Hurst
AtlTE",0/0,0,0,0,0,0,0,30,349,2,39,0,0,0,76.9,4.8
"Kaden Smith
NYGTE",0/0,0,0,0,0,0,0,31,268,3,42,0,0,0,75.8,8.4
"Nick Boyle
BalTE",0/0,0,0,0,0,0,0,31,321,2,41,0,0,0,75.1,4.7
"Will DisslyQ
SeaTE",0/0,0,0,0,1,7,0,23,262,4,26,0,0,0,73.9,12.3
"Foster Moreau
LVTE",0/0,0,0,0,0,0,0,21,174,5,25,0,0,0,68.4,5.3
"Josh HillQ
NOTE",0/0,0,0,0,0,0,0,25,226,3,35,0,0,0,65.6,4.1
"C.J. Uzomah
CinTE",0/0,0,0,0,0,0,0,27,242,2,38,0,0,0,63.2,4
"Ricky Seals-JonesQ
KCTE",0/0,0,0,0,0,0,0,14,229,4,21,0,1,0,58.9,4.2
"Jeremy Sprinkle
WshTE",0/0,0,0,0,0,0,0,26,241,1,40,0,0,0,56.1,3.5
"Delanie WalkerQ
TenTE",0/0,0,0,0,0,0,0,21,215,2,31,0,0,0,54.5,7.8
"Demetrius Harris
ChiTE",0/0,0,0,0,0,0,0,15,149,3,27,1,0,0,47.9,3.2
"Charles Clay
FATE",0/0,0,0,0,0,0,0,18,237,1,24,0,0,0,--,3.2
"James O'Shaughnessy
JaxTE",0/0,0,0,0,0,0,0,14,153,2,20,0,0,0,41.3,8.3
"Maxx Williams
AriTE",0/0,0,0,0,0,0,0,15,202,1,19,0,0,0,41.2,2.6
"Rhett Ellison
NYGTE",0/0,0,0,0,0,0,0,18,167,1,28,0,0,0,40.7,4.1
"Anthony Firkser
TenTE",0/0,0,0,0,0,0,0,14,204,1,23,0,0,0,40.4,2.7