RANK,PLAYER,POS,TEAM,BYE,CMP,ATT,CMP%,Y/A,PassingYDS,PassingTD,PassingINT,RushingAttempts,RushingYDS,RushingY/A,RushingTD,ReceivingTargets,ReceivingREC,ReceivingYDS,ReceivingY/R,ReceivingTD,Fumbles,Interceptions,FumbleRecoveries,Sacks,DefensiveTD,PointsAgainst,YardsAgainst,FGM,FGA,XPM,FPTS
333,Hunter Renfrow,WR,LV,13,0,0,0,0,0,0,0,0.4,3.8,9.5,0,0,60.6,603.9,9.965346535,3.6,0.6,0,0,0,0,0,0,0,0,0,80.9
334,Jayden Reed,WR,GB,6,0,0,0,0,0,0,0,2.4,16.6,6.916666667,0.1,0,47.9,601.3,12.55323591,3.1,0.2,0,0,0,0,0,0,0,0,0,80.1
335,Jameson Williams,WR,DET,9,0,0,0,0,0,0,0,1.9,20.4,10.73684211,0.1,0,39,583.3,14.95641026,3.1,0.5,0,0,0,0,0,0,0,0,0,78.8
336,Isaiah Hodgins,WR,NYG,13,0,0,0,0,0,0,0,0,0.6,0,0,0,47.3,524.2,11.08245243,4.6,0.7,0,0,0,0,0,0,0,0,0,78.8
337,Rashid Shaheed,WR,NO,11,0,0,0,0,0,0,0,3.6,42.6,11.83333333,0.8,0,37.2,556.1,14.94892473,2.4,0.1,0,0,0,0,0,0,0,0,0,78.6
338,Rashod Bateman,WR,BAL,13,0,0,0,0,0,0,0,0,0.2,0,0,0,40,607.8,15.195,3.1,0.9,0,0,0,0,0,0,0,0,0,77.5
339,John Metchie III,WR,HOU,7,0,0,0,0,0,0,0,0.9,8.2,9.111111111,0,0,43.2,561.8,13.00462963,2.8,0.2,0,0,0,0,0,0,0,0,0,73.8
340,Alec Pierce,WR,IND,11,0,0,0,0,0,0,0,0,0.2,0,0,0,39.2,591.4,15.08673469,2.5,0.1,0,0,0,0,0,0,0,0,0,73.7
341,Robert Woods,WR,HOU,7,0,0,0,0,0,0,0,4.2,21.2,5.047619048,0.2,0,52.2,535.5,10.25862069,2.5,0.5,0,0,0,0,0,0,0,0,0,71.1
342,Chase Claypool,WR,CHI,13,0,0,0,0,0,0,0,5.6,37.6,6.714285714,0.2,0,35.5,498.1,14.03098592,2.7,0.5,0,0,0,0,0,0,0,0,0,70.3
343,Mecole Hardman Jr.,WR,NYJ,7,0,0,0,0,0,0,0,7.9,60.1,7.607594937,0.8,0,36.2,444.4,12.27624309,2.7,0.8,0,0,0,0,0,0,0,0,0,69.6
344,Corey Davis,WR,NYJ,7,0,0,0,0,0,0,0,0,0.3,0,0,0,35.7,527.6,14.77871148,2.7,0.2,0,0,0,0,0,0,0,0,0,68.7
345,Marvin Jones Jr.,WR,DET,9,0,0,0,0,0,0,0,0.1,0.5,5,0,0,38.1,496,13.0183727,3.2,0.1,0,0,0,0,0,0,0,0,0,68.6
346,Darius Slayton,WR,NYG,13,0,0,0,0,0,0,0,0.5,1.5,3,0,0,35.8,547.2,15.2849162,2.4,0.5,0,0,0,0,0,0,0,0,0,68
347,Rashee Rice,WR,KC,10,0,0,0,0,0,0,0,1.2,8,6.666666667,0,0,33.5,486.5,14.52238806,3,0.4,0,0,0,0,0,0,0,0,0,67.1
348,Mack Hollins,WR,ATL,11,0,0,0,0,0,0,0,1.1,16.9,15.36363636,0.1,0,38.8,468.2,12.06701031,2.9,0.2,0,0,0,0,0,0,0,0,0,65.6
349,Allen Robinson II,WR,PIT,6,0,0,0,0,0,0,0,0.1,0.4,4,0,0,39.7,491,12.36775819,2.7,0.1,0,0,0,0,0,0,0,0,0,65.3
350,Russell Gage,WR,TB,5,0,0,0,0,0,0,0,0.8,2,2.5,0,0,60.5,530,8.760330579,1.9,0.3,0,0,0,0,0,0,0,0,0,63.9
351,Parris Campbell,WR,NYG,13,0,0,0,0,0,0,0,3.6,35.8,9.944444444,0.1,0,39.7,459.7,11.57934509,2.2,0.3,0,0,0,0,0,0,0,0,0,62.9
352,Khalil Shakir,WR,BUF,13,0,0,0,0,0,0,0,1.2,6.9,5.75,0.1,0,32,446.3,13.946875,2.1,0.2,0,0,0,0,0,0,0,0,0,58
353,Tyquan Thornton,WR,NE,11,0,0,0,0,0,0,0,3.2,13.9,4.34375,0.5,0,29.3,384.9,13.13651877,2.3,0.1,0,0,0,0,0,0,0,0,0,56.6
354,Kendrick Bourne,WR,NE,11,0,0,0,0,0,0,0,5.3,34.8,6.566037736,0.2,0,31.3,410.5,13.11501597,1.8,0.2,0,0,0,0,0,0,0,0,0,55.6
355,Joshua Palmer,WR,LAC,5,0,0,0,0,0,0,0,0.5,1.8,3.6,0,0,34.8,425.9,12.23850575,2,0.1,0,0,0,0,0,0,0,0,0,54.9
356,Wan'Dale Robinson,WR,NYG,13,0,0,0,0,0,0,0,2.6,11.3,4.346153846,0.1,0,34.9,427.7,12.25501433,1.8,0.5,0,0,0,0,0,0,0,0,0,54.4
357,Nick Westbrook-Ikhine,WR,TEN,7,0,0,0,0,0,0,0,0,0.4,0,0,0,28.3,394.4,13.93639576,2.4,0.2,0,0,0,0,0,0,0,0,0,53.5
358,Josh Reynolds,WR,DET,9,0,0,0,0,0,0,0,0.3,0.4,1.333333333,0,0,28.7,403.3,14.05226481,2.2,0.2,0,0,0,0,0,0,0,0,0,53.4
359,Marvin Mims Jr.,WR,DEN,9,0,0,0,0,0,0,0,0.9,4.6,5.111111111,0,0,26.8,397.6,14.8358209,2,0.2,0,0,0,0,0,0,0,0,0,51.9
360,Jalin Hyatt,WR,NYG,13,0,0,0,0,0,0,0,1.1,8.2,7.454545455,0,0,28.2,400.3,14.19503546,1.9,0.4,0,0,0,0,0,0,0,0,0,51.9
361,Ben Skowronek,WR,LAR,10,0,0,0,0,0,0,0,0.4,4.7,11.75,0.3,0,37.6,387.3,10.30053191,1.5,0.1,0,0,0,0,0,0,0,0,0,50.1
362,Terrace Marshall Jr.,WR,CAR,7,0,0,0,0,0,0,0,0,0.1,0,0,0,24.9,400.7,16.09236948,1.5,0.1,0,0,0,0,0,0,0,0,0,49.1
363,Greg Dortch,WR,ARI,14,0,0,0,0,0,0,0,5.8,42.8,7.379310345,0.1,0,37.7,365,9.681697613,1.4,0.5,0,0,0,0,0,0,0,0,0,48.7
364,Michael Wilson,WR,ARI,14,0,0,0,0,0,0,0,0.5,5.5,11,0,0,32.9,390.7,11.87537994,1.4,0.2,0,0,0,0,0,0,0,0,0,48
365,Tutu Atwell,WR,LAR,10,0,0,0,0,0,0,0,7.1,34.6,4.873239437,0.4,0,23.8,344.4,14.47058824,1.3,0.2,0,0,0,0,0,0,0,0,0,47.8
366,Sterling Shepard,WR,NYG,13,0,0,0,0,0,0,0,2.7,16.3,6.037037037,0.1,0,28.3,334.1,11.80565371,1.6,0.1,0,0,0,0,0,0,0,0,0,45.1
367,Josh Downs,WR,IND,11,0,0,0,0,0,0,0,0.8,6.4,8,0,0,23.7,354.8,14.97046414,1.5,0.2,0,0,0,0,0,0,0,0,0,44.8
368,Tank Dell,WR,HOU,7,0,0,0,0,0,0,0,0.7,4.1,5.857142857,0,0,25,361.8,14.472,1.3,0.3,0,0,0,0,0,0,0,0,0,43.8
369,Cedric Tillman,WR,CLE,5,0,0,0,0,0,0,0,0.9,5.7,6.333333333,0.1,0,22.3,361,16.18834081,1.2,0.2,0,0,0,0,0,0,0,0,0,43.6
370,Robbie Chosen,WR,MIA,10,0,0,0,0,0,0,0,0.3,1.9,6.333333333,0,0,30.3,332.7,10.98019802,1.7,0.2,0,0,0,0,0,0,0,0,0,43.3
371,Richie James Jr.,WR,KC,10,0,0,0,0,0,0,0,0.6,1.8,3,0,0,24.4,331.9,13.60245902,2,1.6,0,0,0,0,0,0,0,0,0,42.1
372,Laviska Shenault Jr.,WR,CAR,7,0,0,0,0,0,0,0,16.6,83.9,5.054216867,0.7,0,20,250.1,12.505,0.8,0.2,0,0,0,0,0,0,0,0,0,41.9
373,Isaiah McKenzie,WR,IND,11,0,0,0,0,0,0,0,8.3,42.3,5.096385542,0.3,0,24.2,281,11.61157025,1.3,0.1,0,0,0,0,0,0,0,0,0,41.6
374,Kayshon Boutte,WR,NE,11,0,0,0,0,0,0,0,1.6,9.8,6.125,0.1,0,0,388.5,0,0.3,0.3,0,0,0,0,0,0,0,0,0,41.6
375,Trey Palmer,WR,TB,5,0,0,0,0,0,0,0,0.3,4.4,14.66666667,0,0,31.1,321.8,10.34726688,1.5,0.1,0,0,0,0,0,0,0,0,0,41.6
376,Braxton Berrios,WR,MIA,10,0,0,0,0,0,0,0,1.7,20.3,11.94117647,0.3,0,24.6,290.8,11.82113821,1.4,0.4,0,0,0,0,0,0,0,0,0,41
377,Quez Watkins,WR,PHI,10,0,0,0,0,0,0,0,0.5,0.9,1.8,0,0,20.6,304.2,14.76699029,1.4,0.2,0,0,0,0,0,0,0,0,0,38.8
378,Jauan Jennings,WR,SF,9,0,0,0,0,0,0,0,0,0.2,0,0,0,21.9,277.5,12.67123288,1.3,0.1,0,0,0,0,0,0,0,0,0,35.6
379,Chris Moore,WR,TEN,7,0,0,0,0,0,0,0,1.2,3.2,2.666666667,0,0,24.3,263.3,10.83539095,1.1,0,0,0,0,0,0,0,0,0,0,33
380,Puka Nacua,WR,LAR,10,0,0,0,0,0,0,0,0.8,4.8,6,0.1,0,15.3,283.9,18.55555556,0.6,0.1,0,0,0,0,0,0,0,0,0,32.7
381,Kalif Raymond,WR,DET,9,0,0,0,0,0,0,0,2.3,22.6,9.826086957,0.2,0,18.3,220.8,12.06557377,1.1,0.2,0,0,0,0,0,0,0,0,0,31.9
382,Marquez Callaway,WR,DEN,9,0,0,0,0,0,0,0,0,0.2,0,0,0,18.6,215.2,11.56989247,1.3,0,0,0,0,0,0,0,0,0,0,29.4
383,Demarcus Robinson,WR,LAR,10,0,0,0,0,0,0,0,0,0.2,0,0,0,21.6,231.2,10.7037037,1,0.1,0,0,0,0,0,0,0,0,0,29
384,Amari Rodgers,WR,IND,11,0,0,0,0,0,0,0,0.2,7.9,39.5,0,0,21,210.4,10.01904762,1.1,0.1,0,0,0,0,0,0,0,0,0,28.5
385,Olamide Zaccheaus,WR,PHI,10,0,0,0,0,0,0,0,0.6,1.8,3,0,0,17.7,225.9,12.76271186,1.1,0.3,0,0,0,0,0,0,0,0,0,28.4
386,Trent Sherfield,WR,BUF,13,0,0,0,0,0,0,0,0,0.6,0,0,0,15.4,214.1,13.9025974,1.1,0.1,0,0,0,0,0,0,0,0,0,27.8
387,Kyle Philips,WR,TEN,7,0,0,0,0,0,0,0,0.7,3.8,5.428571429,0,0,16.3,224.2,13.75460123,0.8,0.2,0,0,0,0,0,0,0,0,0,27.4
388,David Moore,WR,TB,5,0,0,0,0,0,0,0,0.1,6.5,65,0.1,0,19.1,194.8,10.19895288,1.1,0.1,0,0,0,0,0,0,0,0,0,26.7
389,Randall Cobb,WR,NYJ,7,0,0,0,0,0,0,0,0.1,0.5,5,0,0,17.4,198.7,11.41954023,1.1,0.1,0,0,0,0,0,0,0,0,0,26.3
390,Jamal Agnew,WR,JAC,9,0,0,0,0,0,0,0,5.7,50.6,8.877192982,0.3,0,15.9,147.5,9.27672956,0.8,0.2,0,0,0,0,0,0,0,0,0,26.1
391,Marquise Goodwin,WR,CLE,5,0,0,0,0,0,0,0,1.5,7.9,5.266666667,0,0,12.8,177.4,13.859375,1.2,0,0,0,0,0,0,0,0,0,0,25.9
392,Charlie Jones,WR,CIN,7,0,0,0,0,0,0,0,0.7,5.6,8,0,0,15.2,198.4,13.05263158,1,0.5,0,0,0,0,0,0,0,0,0,25.5
393,A.T. Perry,WR,NO,11,0,0,0,0,0,0,0,1,6.2,6.2,0,0,0,250.4,0,0,0.2,0,0,0,0,0,0,0,0,0,25.3
394,Cedrick Wilson Jr.,WR,MIA,10,0,0,0,0,0,0,0,0.2,0.6,3,0,0,16.5,186.6,11.30909091,0.9,0,0,0,0,0,0,0,0,0,0,24.3
395,Noah Brown,WR,HOU,7,0,0,0,0,0,0,0,0.1,0.4,4,0,0,15.5,196.4,12.67096774,0.7,0.1,0,0,0,0,0,0,0,0,0,23.8
396,Cade Johnson,WR,SEA,5,0,0,0,0,0,0,0,0,1.7,0,0,0,14.6,168,11.50684932,1.1,0,0,0,0,0,0,0,0,0,0,23.3
397,Samori Toure,WR,GB,6,0,0,0,0,0,0,0,0.3,2.5,8.333333333,0,0,15,177.5,11.83333333,0.9,0.1,0,0,0,0,0,0,0,0,0,23.2
398,Demario Douglas,WR,NE,11,0,0,0,0,0,0,0,0.3,1.7,5.666666667,0,0,21.7,193.4,8.912442396,0.6,0.1,0,0,0,0,0,0,0,0,0,23
399,Xavier Hutchinson,WR,HOU,7,0,0,0,0,0,0,0,0.9,5.6,6.222222222,0,0,0,226,0,0,0.2,0,0,0,0,0,0,0,0,0,22.8
400,Dontayvion Wicks,WR,GB,6,0,0,0,0,0,0,0,0.2,3.9,19.5,0,0,17.6,173.2,9.840909091,0.8,0.1,0,0,0,0,0,0,0,0,0,22.7
401,Justyn Ross,WR,KC,10,0,0,0,0,0,0,0,0.5,2.5,5,0,0,8.5,171,20.11764706,0.7,0.1,0,0,0,0,0,0,0,0,0,21.7
402,Tyler Scott,WR,CHI,13,0,0,0,0,0,0,0,0.9,5.3,5.888888889,0,0,0,213.7,0,0,0.1,0,0,0,0,0,0,0,0,0,21.7
403,Trenton Irwin,WR,CIN,7,0,0,0,0,0,0,0,0.1,0.5,5,0,0,15.9,159.8,10.05031447,0.9,0.1,0,0,0,0,0,0,0,0,0,21.4
404,Justin Watson,WR,KC,10,0,0,0,0,0,0,0,0,0.2,0,0,0,11.4,159.4,13.98245614,0.9,0,0,0,0,0,0,0,0,0,0,21.3
405,Devin Duvernay,WR,BAL,13,0,0,0,0,0,0,0,4.6,39.8,8.652173913,0.2,0,6.4,135.5,21.171875,0.4,0.1,0,0,0,0,0,0,0,0,0,21.3
406,Zach Pascal,WR,ARI,14,0,0,0,0,0,0,0,0.1,1.1,11,0,0,15.4,160,10.38961039,0.8,0.1,0,0,0,0,0,0,0,0,0,20.9
407,KhaDarel Hodge,WR,ATL,11,0,0,0,0,0,0,0,0,3,0,0,0,13.2,151.4,11.46969697,0.9,0.1,0,0,0,0,0,0,0,0,0,20.9
408,Dyami Brown,WR,WAS,14,0,0,0,0,0,0,0,0.3,6.1,20.33333333,0,0,11.1,168.3,15.16216216,0.6,0.1,0,0,0,0,0,0,0,0,0,20.8
409,David Bell,WR,CLE,5,0,0,0,0,0,0,0,0,0.2,0,0,0,10.1,174.4,17.26732673,0.4,0,0,0,0,0,0,0,0,0,0,19.9
410,Calvin Austin III,WR,PIT,6,0,0,0,0,0,0,0,0.3,3.1,10.33333333,0,0,12,156.5,13.04166667,0.6,0.1,0,0,0,0,0,0,0,0,0,19.4
411,Tre Nixon,WR,NE,11,0,0,0,0,0,0,0,0,6.7,0,0,0,9.3,135.6,14.58064516,0.8,0,0,0,0,0,0,0,0,0,0,19.4
412,Deonte Harty,WR,BUF,13,0,0,0,0,0,0,0,2.6,13.7,5.269230769,0,0,9.7,152.5,15.72164948,0.5,0.3,0,0,0,0,0,0,0,0,0,19.1
413,Britain Covey,WR,PHI,10,0,0,0,0,0,0,0,0,6.7,0,0.1,0,8.4,130.4,15.52380952,0.8,0,0,0,0,0,0,0,0,0,0,18.7
414,Jalen Guyton,WR,LAC,5,0,0,0,0,0,0,0,0.9,3,3.333333333,0,0,10.3,147,14.27184466,0.6,0,0,0,0,0,0,0,0,0,0,18.7
415,Parker Washington,WR,JAC,9,0,0,0,0,0,0,0,0.3,1.5,5,0,0,14,138,9.857142857,0.6,0.1,0,0,0,0,0,0,0,0,0,17.2
416,Deven Thompkins,WR,TB,5,0,0,0,0,0,0,0,0.1,10,100,0.1,0,12.1,120.7,9.975206612,0.6,0.1,0,0,0,0,0,0,0,0,0,17.1
417,Bryan Edwards,WR,NO,11,0,0,0,0,0,0,0,0,1.2,0,0,0,8,117.8,14.725,0.8,0,0,0,0,0,0,0,0,0,0,16.4
418,Steven Sims Jr.,WR,HOU,7,0,0,0,0,0,0,0,0,24.7,0,0.2,0,7.7,96.6,12.54545455,0.5,0.1,0,0,0,0,0,0,0,0,0,16.3
419,Brandon Powell,WR,MIN,13,0,0,0,0,0,0,0,1.7,25,14.70588235,0,0,12,102.7,8.558333333,0.5,0.1,0,0,0,0,0,0,0,0,0,15.8
420,Jalen Tolbert,WR,DAL,7,0,0,0,0,0,0,0,0.5,2.7,5.4,0,0,7.2,123.5,17.15277778,0.5,0.1,0,0,0,0,0,0,0,0,0,15.5
421,Cole Beasley,WR,NYG,13,0,0,0,0,0,0,0,0,0.3,0,0,0,10.1,113.1,11.1980198,0.7,0,0,0,0,0,0,0,0,0,0,15.4
422,Equanimeous St. Brown,WR,CHI,13,0,0,0,0,0,0,0,1.1,11.2,10.18181818,0,0,8,109.4,13.675,0.5,0.1,0,0,0,0,0,0,0,0,0,15.4
423,Nelson Agholor,WR,BAL,13,0,0,0,0,0,0,0,0.2,0.9,4.5,0,0,4.9,131.9,26.91836735,0.3,0.2,0,0,0,0,0,0,0,0,0,14.9
424,Jalen Nailor,WR,MIN,13,0,0,0,0,0,0,0,0.3,1.7,5.666666667,0,0,10,105.8,10.58,0.7,0.1,0,0,0,0,0,0,0,0,0,14.8
425,Jamison Crowder,WR,NYG,13,0,0,0,0,0,0,0,0.1,1,10,0,0,3.4,141,41.47058824,0.1,0.1,0,0,0,0,0,0,0,0,0,14.5
426,Tre'Quan Smith,WR,NO,11,0,0,0,0,0,0,0,0,0.3,0,0,0,8.3,102.5,12.34939759,0.6,0,0,0,0,0,0,0,0,0,0,13.6
427,Velus Jones Jr.,WR,CHI,13,0,0,0,0,0,0,0,1.8,33.8,18.77777778,0.2,0,4.6,77.2,16.7826087,0.3,0.1,0,0,0,0,0,0,0,0,0,13.6
428,Kendall Hinton,WR,DEN,9,0,0,0,0,0,0,0,0.8,7.3,9.125,0,0,8.5,97.2,11.43529412,0.5,0,0,0,0,0,0,0,0,0,0,13.5
429,DeAndre Carter,WR,LV,13,0,0,0,0,0,0,0,0.5,7.2,14.4,0,0,9,105.2,11.68888889,0.4,0.2,0,0,0,0,0,0,0,0,0,13.4
430,Dareke Young,WR,SEA,5,0,0,0,0,0,0,0,0,0,0,0,0,8.1,92.6,11.43209877,0.7,0.1,0,0,0,0,0,0,0,0,0,13.1
431,Penny Hart,WR,ATL,11,0,0,0,0,0,0,0,0,0,0,0,0,8.9,103,11.57303371,0.5,0.1,0,0,0,0,0,0,0,0,0,12.9
432,Dee Eskridge,WR,SEA,5,0,0,0,0,0,0,0,2.8,17.6,6.285714286,0.1,0,8.7,82,9.425287356,0.4,0,0,0,0,0,0,0,0,0,0,12.8
433,Phillip Dorsett II,WR,LV,13,0,0,0,0,0,0,0,0.1,1,10,0,0,8.9,89.7,10.07865169,0.5,0,0,0,0,0,0,0,0,0,0,12.2
434,Scott Miller,WR,ATL,11,0,0,0,0,0,0,0,0.4,5,12.5,0.1,0,6.8,94.2,13.85294118,0.3,0,0,0,0,0,0,0,0,0,0,12.1
435,Derius Davis,WR,LAC,5,0,0,0,0,0,0,0,0.1,5.1,51,0,0,11.4,86.4,7.578947368,0.4,0,0,0,0,0,0,0,0,0,0,11.9
436,Shi Smith,WR,CAR,7,0,0,0,0,0,0,0,0.1,0.1,1,0,0,7.1,92.4,13.01408451,0.4,0.1,0,0,0,0,0,0,0,0,0,11.3
437,Damiere Byrd,WR,CAR,7,0,0,0,0,0,0,0,0,0.7,0,0,0,6,78.5,13.08333333,0.5,0,0,0,0,0,0,0,0,0,0,10.9
438,Denzel Mims,WR,DET,9,0,0,0,0,0,0,0,0,0.1,0,0,0,5.3,89.6,16.90566038,0.3,0,0,0,0,0,0,0,0,0,0,10.7
439,Andrei Iosivas,WR,CIN,7,0,0,0,0,0,0,0,0.4,2.7,6.75,0,0,0,105.5,0,0,0.1,0,0,0,0,0,0,0,0,0,10.6
440,Gunner Olszewski,WR,PIT,6,0,0,0,0,0,0,0,4.5,33.9,7.533333333,0.1,0,3.7,51.2,13.83783784,0.2,0.1,0,0,0,0,0,0,0,0,0,10.5
441,Kaylon Geiger Sr.,WR,TB,5,0,0,0,0,0,0,0,0,5.7,0,0.1,0,5.2,66.5,12.78846154,0.4,0,0,0,0,0,0,0,0,0,0,10.1
442,Justin Shorter,WR,BUF,13,0,0,0,0,0,0,0,0.2,0.9,4.5,0,0,7.3,77.2,10.57534247,0.3,0,0,0,0,0,0,0,0,0,0,9.7
443,Joseph Ngata,WR,PHI,10,0,0,0,0,0,0,0,0,0,0,0,0,5.9,68.3,11.57627119,0.5,0,0,0,0,0,0,0,0,0,0,9.7
444,Jalen Reagor,WR,MIN,13,0,0,0,0,0,0,0,2.5,13.8,5.52,0.1,0,5.4,59.9,11.09259259,0.3,0.1,0,0,0,0,0,0,0,0,0,9.5
445,Jakeem Grant Sr.,WR,CLE,5,0,0,0,0,0,0,0,0,22.7,0,0.1,0,4.8,51.5,10.72916667,0.2,0,0,0,0,0,0,0,0,0,0,9.5
446,Demetric Felton Jr.,WR,CLE,5,0,0,0,0,0,0,0,0.4,2.4,6,0,0,0,93.7,0,0,0.1,0,0,0,0,0,0,0,0,0,9.4
447,Tre Tucker,WR,LV,13,0,0,0,0,0,0,0,0.2,2.2,11,0,0,5.7,73.4,12.87719298,0.3,0,0,0,0,0,0,0,0,0,0,9.2
448,Ashton Dulin,WR,IND,11,0,0,0,0,0,0,0,0.4,5.5,13.75,0,0,4.5,72.9,16.2,0.3,0.1,0,0,0,0,0,0,0,0,0,9.2
449,Ray-Ray McCloud III,WR,SF,9,0,0,0,0,0,0,0,3.1,24.9,8.032258065,0.2,0,3.8,41.9,11.02631579,0.2,0.1,0,0,0,0,0,0,0,0,0,9
450,KaVontae Turpin,WR,DAL,7,0,0,0,0,0,0,0,1.7,10.1,5.941176471,0.1,0,5.5,53.6,9.745454545,0.3,0,0,0,0,0,0,0,0,0,0,8.8
451,River Cracraft,WR,MIA,10,0,0,0,0,0,0,0,0,0.6,0,0,0,4.6,65.2,14.17391304,0.3,0,0,0,0,0,0,0,0,0,0,8.7
452,Ronnie Bell,WR,SF,9,0,0,0,0,0,0,0,0,4.7,0,0,0,4.4,57.1,12.97727273,0.3,0,0,0,0,0,0,0,0,0,0,8.3
453,Lance McCutcheon,WR,LAR,10,0,0,0,0,0,0,0,0,0.7,0,0,0,3.9,64,16.41025641,0.3,0,0,0,0,0,0,0,0,0,0,8.2
454,Darrius Shepherd,WR,LAC,5,0,0,0,0,0,0,0,0,5,0,0,0,4.2,57.2,13.61904762,0.3,0,0,0,0,0,0,0,0,0,0,8.1
455,Dante Pettis,WR,CHI,13,0,0,0,0,0,0,0,0.1,4.5,45,0,0,6.1,64.2,10.52459016,0.2,0,0,0,0,0,0,0,0,0,0,8.1
